supplier,sku,group,prob,source
IEK,0000352,"Контакторы, пускатели, управление",1.0,rules
IEK,010300001_,УЗО и дифавтоматы,1.0,rules
IEK,010300002_,УЗО и дифавтоматы,1.0,rules
IEK,010300003_,УЗО и дифавтоматы,1.0,rules
IEK,010300004_,УЗО и дифавтоматы,1.0,rules
IEK,010300005_,УЗО и дифавтоматы,1.0,rules
IEK,010300006_,УЗО и дифавтоматы,1.0,rules
IEK,010300007_,УЗО и дифавтоматы,1.0,rules
IEK,010300008_,УЗО и дифавтоматы,1.0,rules
IEK,010300009_,УЗО и дифавтоматы,1.0,rules
IEK,010300010_,УЗО и дифавтоматы,1.0,rules
IEK,010300011_,УЗО и дифавтоматы,1.0,rules
IEK,010300012_,УЗО и дифавтоматы,1.0,rules
IEK,010300013_,УЗО и дифавтоматы,1.0,rules
IEK,010300014_,УЗО и дифавтоматы,1.0,rules
IEK,010300015_,УЗО и дифавтоматы,1.0,rules
IEK,010300016_,УЗО и дифавтоматы,1.0,rules
IEK,010300017_,УЗО и дифавтоматы,1.0,rules
IEK,010300018_,УЗО и дифавтоматы,1.0,rules
IEK,010300019_,УЗО и дифавтоматы,1.0,rules
IEK,010300020_,УЗО и дифавтоматы,1.0,rules
IEK,010300021_,УЗО и дифавтоматы,1.0,rules
IEK,010300023_,УЗО и дифавтоматы,1.0,rules
IEK,010300024_,УЗО и дифавтоматы,1.0,rules
IEK,010300052_,УЗО и дифавтоматы,1.0,rules
IEK,010300053_,УЗО и дифавтоматы,1.0,rules
IEK,010300057_,УЗО и дифавтоматы,1.0,rules
IEK,010300068_,УЗО и дифавтоматы,1.0,rules
IEK,010300069_,УЗО и дифавтоматы,1.0,rules
IEK,010300074_,УЗО и дифавтоматы,1.0,rules
IEK,010300075_,УЗО и дифавтоматы,1.0,rules
IEK,010300094_,УЗО и дифавтоматы,1.0,rules
IEK,010300095_,УЗО и дифавтоматы,1.0,rules
IEK,010300096_,УЗО и дифавтоматы,1.0,rules
IEK,010300103_,УЗО и дифавтоматы,1.0,rules
IEK,010300108_,УЗО и дифавтоматы,1.0,rules
IEK,010300115_,УЗО и дифавтоматы,1.0,rules
IEK,010300121_,УЗО и дифавтоматы,1.0,rules
IEK,010300122_,УЗО и дифавтоматы,1.0,rules
